Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,143.949997,144.630005,142.880005,143.380005,142.631256,1643100
2021-07-30,142.839996,145.399994,142.449997,143.960007,143.208221,2825200
2021-08-02,145.000000,145.639999,143.809998,144.110001,143.357422,2054200
2021-08-03,142.639999,143.320007,137.169998,139.800003,139.069931,4492500
2021-08-04,139.520004,141.339996,138.360001,139.910004,139.179352,2897400
2021-08-05,144.830002,146.500000,134.839996,136.869995,136.155243,5516100
2021-08-06,136.470001,137.330002,135.410004,136.339996,135.628006,2401300
2021-08-09,136.710007,137.839996,135.429993,136.160004,135.448959,1722800
2021-08-10,136.110001,137.089996,135.160004,137.029999,136.314407,2210400
2021-08-11,137.919998,138.449997,137.059998,138.300003,137.577774,1841300
2021-08-12,138.110001,139.020004,136.929993,138.990005,138.264160,1871500
2021-08-13,138.940002,139.399994,138.190002,138.679993,137.955780,1572600
2021-08-16,137.960007,140.020004,137.399994,140.000000,139.268890,1789100
2021-08-17,139.169998,142.160004,138.639999,141.039993,140.303452,2340800
2021-08-18,140.940002,141.899994,139.820007,139.990005,139.258942,2091100
2021-08-19,139.380005,141.410004,139.080002,140.600006,139.865753,1888400
2021-08-20,140.919998,141.779999,139.630005,140.169998,139.438004,2329900
2021-08-23,140.149994,143.500000,139.320007,142.820007,142.074173,1895900
2021-08-24,143.160004,144.350006,142.160004,142.570007,141.825485,1501900
2021-08-25,142.770004,142.770004,140.009995,141.860001,141.119171,1638200
2021-08-26,141.979996,142.889999,141.179993,141.470001,140.731216,1016300
2021-08-27,141.520004,143.320007,141.210007,142.940002,142.193542,1144000
2021-08-30,142.199997,144.330002,141.009995,143.289993,142.541687,2011300
2021-08-31,143.660004,147.130005,142.600006,145.210007,144.623260,3467600
2021-09-01,145.339996,147.000000,144.949997,146.429993,145.838333,1570100
2021-09-02,146.869995,147.759995,144.990005,145.399994,144.812500,2240600
2021-09-03,144.960007,146.949997,144.960007,146.600006,146.007660,1192700
2021-09-07,147.089996,147.089996,145.119995,145.220001,144.633224,1495700
2021-09-08,145.759995,147.539993,143.899994,144.100006,143.517761,2200400
2021-09-09,143.270004,144.240005,140.809998,142.309998,141.734985,2624700
2021-09-10,142.020004,146.929993,141.470001,145.130005,144.543594,3664200
2021-09-13,145.410004,146.910004,143.910004,144.679993,144.095398,2131400
2021-09-14,145.220001,145.940002,144.309998,145.369995,144.782608,1318400
